Progreso;"Estimado/a estudiante, bienvenido/a a la encuesta “Retroalimentación para el Aprendizaje”. El propósito de esta encuesta es favorecer la comprensión acerca de cómo podemos mejorar las prácticas de retroalimentación sobre la evaluación en las universidades. En esta encuesta nos interesa la retroalimentación relacionada con una tarea de evaluación (calificada o no calificada) de una asignatura. Por retroalimentación, nos referimos a la información que ayuda a los estudiantes a mejorar su desempeño en tareas futuras. Completar esta encuesta no debe tomar más de 30 minutos y todas sus respuestas serán anónimas    Si decide hacer parte de este proceso, por favor lea el siguiente consentimiento informado. Agradecemos de antemano su amable participación.     Yo, he sido invitado/a a participar como sujeto en la aplicación virtual de la encuesta ""Retroalimentación para el Aprendizaje"". Los datos recogidos se utilizarán para una investigación que tiene como objetivo generar orientaciones para promover prácticas efectivas de retroalimentación formativa en el contexto universitario. Entiendo que mi participación en el presente estudio es voluntaria y que puedo retirarme en cualquier momento, sin que esto conlleve ningún tipo de penalidad. ¿Estoy de acuerdo en participar en el presente estudio?";P1;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P10.1;P11;P11Otra;P12;P12Otra;P13a;P13b;P13c;P13d;P13e;P13f;P13g;P13h;P13i;P13j;P13jOtra;P13k;P13.1;P14;P14Otra;P15;P16;P16Otra;P17;P18;P18Otra;P19a;P19b;P19c;P19d;P19e;P20;P21a;P21b;P21c;P21d;P22a;P22b;P22c;P22d;P23;P23Otra;P24;P24Otra;P25;P26a;P26b;P26c;P26d;P26e;P26f;P26g;P26h;P26i;P26j;P26j;P26l;P26m;P26n;P26o;P27a;P27b;P27c;P28a;P28b;P29;P30;P31;P32;P33;P33Otra;P34;P34Otra;P35;P36;P36.1;P36.1AMP;P36.2;P37;P37AMP
100;De acuerdo;18 - 23;Ciencias Sociales (ej. Ciencias de la Educación, Ciencias Políticas, Derecho, Economía y Negocios, Geografía Social y Económica, Periodismo y Comunicaciones, Psicología, Sociología);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura en Etnoeducación e Interculturalidad ;Menos de un año;Entre 3.6 y 4.0;En tres;Concepción y modelos pedagógicos ;Calificaciones y comentarios;Más alta de lo esperado;Ensayo escrito;;Trabajé en grupo;;Antes de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Docente ;Después de la entrega;Moderadamente útiles;Copia impresa (ej. Documento impreso);;Menos de 2 semanas;Mi profesor;;El profesor ya había revisado y brindado comentarios en mi tarea antes de su envío;Anotaciones electrónicas (ej. Comentarios en Word o PDF);;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;3;1;4;5;Comentarios escritos a mano en una copia impresa;;Comentarios escritos a mano en una copia impresa;;Tratar de entender lo explicado. ;Ocasionalmente;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;En desacuerdo;En desacuerdo;En desacuerdo;Epistemolgia ;1 semestre 2022;La forma de explicar;Porque le complementa al estudiante sobre el tema desarrollado ;Una vez, fue explicado sin coherencia ;Incorporar tutores y docentes que puedan expresarse de buena manera a la hora de explicar la situación. ;Mujer;;Colombia;;Más de 12 años;Sí;;;;No;
100;De acuerdo;24 - 29;Ciencias Sociales (ej. Ciencias de la Educación, Ciencias Políticas, Derecho, Economía y Negocios, Geografía Social y Económica, Periodismo y Comunicaciones, Psicología, Sociología);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura en Etnoeducación e Interculturalidad ;Menos de un año;Entre 3.6 y 4.0;En dos;Electiva I;Calificaciones y comentarios;La misma que esperaba;Examen;;Trabajé solo;;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;;Antes de la entrega;Muy útiles;Copia impresa (ej. Documento impreso),Correo electrónico;;Menos de 1 semana;Mi profesor;;El profesor ya había revisado y brindado comentarios en mi tarea antes de su envío;Comentarios dados personalmente,Otro (Por favor especifique en el siguiente recuadro);Correo electronico;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;Totalmente en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;4;5;4;5;Anotaciones electrónicas (ej. Comentarios en Word o PDF),Comentarios dados personalmente;;Comentarios escritos a mano en una copia impresa,Anotaciones electrónicas (ej. Comentarios en Word o PDF),Comentarios dados personalmente;;Ayudar a identificar cuanto hemos aprendido y que hemos puesto en practica;Frecuentemente;Ocasionalmente;Siempre;Siempre;Rara vez;Siempre;Siempre;Ocasionalmente;Rara vez;Frecuentemente;Siempre;Siempre;Frecuentemente;Rara vez;Nunca;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Electiva1;Primer semestre;Brindan informacion que concuerda con la explicación de la actividad anterior ;Me he sentido satisfecha por que he notado mejores resultados en mi proceso de aprendizaje ;Ninguna retroalimentación me ha sido inutil;Brindar informaciones coherentes y significativas ;Mujer;;Colombia;;Más de 12 años;No;Sí, otro (Por favor especifique en el siguiente recuadro);Wayuunaiki;Excelente;No;
100;De acuerdo;24 - 29;Humanidades (ej. Arte, Historia y Arqueología, Idiomas y Literatura, Otras Historias y Humanidades);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciaturas en etnoeducacion interculturalidad ;Menos de un año;Entre 3.6 y 4.0;En una;Electiva ll;Solo comentarios;;Ensayo escrito;;Trabajé solo;;Después de la entrega;Antes de la entrega;Antes de la entrega;Después de la entrega;Antes de la entrega;Antes de la entrega;Después de la entrega;Después de la entrega;Antes de la entrega;Después de la entrega;Compañeros ;Antes de la entrega;;Plataforma educativa (ej. LMS, Moodle, Brightspace);;Menos de 1 semana;Mi profesor;;El profesor ya había revisado y brindado comentarios en mi tarea antes de su envío;Anotaciones electrónicas (ej. Comentarios en Word o PDF);;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;4;5;4;4;Anotaciones electrónicas (ej. Comentarios en Word o PDF),Comentarios dados personalmente;;Anotaciones electrónicas (ej. Comentarios en Word o PDF),Comentarios dados personalmente,Grabación de audio;;Mejorar y corregir ;Siempre;Siempre;Frecuentemente;Siempre;Siempre;Siempre;Siempre;Frecuentemente;Siempre;Frecuentemente;Siempre;Siempre;Rara vez;Rara vez;No puedo dar una opinión;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Fundamentacion ;Primer semestre 2022;Concentración ;Por medio de la calificación ;En ningun momento ;Aplicar métodos mas entendibles en los profesores Estrategias. ;Hombre;;Colombia;;Más de 12 años;No;Sí, otro (Por favor especifique en el siguiente recuadro);El WAYUUNAIKI ;Medio;No;
100;De acuerdo;18 - 23;Humanidades (ej. Arte, Historia y Arqueología, Idiomas y Literatura, Otras Historias y Humanidades);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura en etnoeducacion e interculturalidad;Menos de un año;Entre 3.6 y 4.0;En una;Electiva ll;Solo comentarios;;Ensayo escrito;;Trabajé solo;;Después de la entrega;Antes de la entrega;Antes de la entrega;Después de la entrega;Antes de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Antes de la entrega;Después de la entrega;Compañero;Después de la entrega;;Plataforma educativa (ej. LMS, Moodle, Brightspace);;Menos de 1 semana;Mi profesor;;El profesor ya había revisado y brindado comentarios en mi tarea antes de su envío;Anotaciones electrónicas (ej. Comentarios en Word o PDF);;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;4;4;5;4;Anotaciones electrónicas (ej. Comentarios en Word o PDF),Comentarios dados personalmente;;Anotaciones electrónicas (ej. Comentarios en Word o PDF),Comentarios dados personalmente,Grabación de audio;;Aprender más  sobre el tema dado;Siempre;Siempre;Siempre;Frecuentemente;Siempre;Siempre;Siempre;Frecuentemente;Siempre;Frecuentemente;Siempre;Siempre;Rara vez;Siempre;No puedo dar una opinión;En desacuerdo;De acuerdo;Muy en desacuerdo;Fundamentación ;Primer semestre  2022;Estudiar y prestar mucho atención;Por medio de las notas;No presté mucha atención ;Aplicar ,extratejias ,objetivos y métodos más explicativos;Hombre;;Colombia;;Más de 12 años;No;Sí, otro (Por favor especifique en el siguiente recuadro);El wayunaiki;Medio;No;
100;De acuerdo;30 - 35;Ninguna de las anteriores (Por favor indique el área de conocimiento);Licenciatura etnoeducacion e interculturalid ;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura en etnoeducacion e interculturalid ;Menos de un año;Entre 3.0 y 3.5;En ninguna;Concepción modeló pedagógico ;Solo calificación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Comentarios dados personalmente;;Comentarios dados personalmente;;Comportamiento ;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Ocasionalmente;Siempre;Siempre;Siempre;Ocasionalmente;Nunca;Muy de acuerdo;Muy de acuerdo;De acuerdo;Concepción modelo pedagógico ;Primer semestre ;Conocimiento ;Por nuevo conocimiento ;Atrás vez del control sistema ;Fomentar desempeño ;Hombre;;Colombia;;Más de 12 años;Sí;;;;Sí (Por favor especifique en el siguiente recuadro);
100;De acuerdo;Mayor a 35;Humanidades (ej. Arte, Historia y Arqueología, Idiomas y Literatura, Otras Historias y Humanidades);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura en etnoeducacion e interculturalidad;Menos de un año;Entre 4.1 y 4.5;En una;Fundamentos etnoeducativos;Calificaciones y comentarios;Más baja de lo esperado;Examen;;Trabajé solo;;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;;Después de la entrega;;Otro (Por favor especifique en el siguiente recuadro);;Menos de 1 semana;Mi profesor;;No podría dar una opinión;Comentarios dados personalmente;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;En desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;5;5;5;5;Anotaciones electrónicas (ej. Comentarios en Word o PDF);;Otro (Por favor especifique en el siguiente recuadro);Personal;Para que no se nos olvide.;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Nunca;Muy en desacuerdo;Muy de acuerdo;En desacuerdo;Concepcion y modelos;Primer semestre del 2022;Prestarle mucha atención;Pensando en las vivencia;No me ha pasado;Brindole lacto a los estudiantes universitario;Hombre;;Colombia;;Más de 12 años;No;Sí, otro (Por favor especifique en el siguiente recuadro);Wayuunaiki;Excelente;No;
100;De acuerdo;24 - 29;Ciencias Sociales (ej. Ciencias de la Educación, Ciencias Políticas, Derecho, Economía y Negocios, Geografía Social y Económica, Periodismo y Comunicaciones, Psicología, Sociología);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura en Etnoeducacion e interculturalidad;Menos de un año;Entre 3.6 y 4.0;En dos;811211: Fundamento de Etnoeducacion.;Calificaciones y comentarios;Más baja de lo esperado;Presentación oral/exposición;;Trabajé en grupo;;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;;Antes de la entrega;;Copia impresa (ej. Documento impreso);;Menos de 1 semana;Mi profesor;;El profesor no brindó comentarios en mi tarea antes de su envío;Comentarios escritos a mano en un documento impreso;;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;4;4;5;4;Comentarios escritos a mano en una copia impresa,Anotaciones electrónicas (ej. Comentarios en Word o PDF),Comentarios dados personalmente;;Comentarios escritos a mano en un documento escaneado,Anotaciones electrónicas (ej. Comentarios en Word o PDF),Comentarios dados personalmente,Grabación de vídeo;;La retroalimentacion tiene como proposito mejorar el proceso aprendizaje de los estudiantes, que haya una mayor comprension acerca de un tema o temas abordados.;Siempre;Frecuentemente;Siempre;Siempre;Ocasionalmente;Frecuentemente;Siempre;Ocasionalmente;Ocasionalmente;Ocasionalmente;Ocasionalmente;Ocasionalmente;Nunca;Ocasionalmente;Nunca;En desacuerdo;En desacuerdo;En desacuerdo;811518 : Electiva II;Segundo semestre del 2022;Redactar un informe acerca de una tematica. Las teorias del autor fueron mas que las opiniones.;Porque al tener en cuenta los comentarios  y volver a enviar la actividad esta ves no me fue devuelto.;Porque hice una redaccion que habia revisado y analisado varias veces. ;Al hacer una retroalimentacion se tiene que verificar si cada estudiante haya captado la informacion;Hombre;;Colombia;;Más de 12 años;No;No, solamente español;;Bueno;No;
100;De acuerdo;30 - 35;Ciencias Sociales (ej. Ciencias de la Educación, Ciencias Políticas, Derecho, Economía y Negocios, Geografía Social y Económica, Periodismo y Comunicaciones, Psicología, Sociología);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura en etnoeducación e interculturalidad;Menos de un año;Entre 3.6 y 4.0;En ninguna;Concepción y modelos emergentes;Calificaciones y comentarios;La misma que esperaba;Presentación oral/exposición;;Trabajé en grupo;;Después de la entrega;Después de la entrega;Antes de la entrega;Después de la entrega;Después de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;;Antes de la entrega;;Plataforma educativa (ej. LMS, Moodle, Brightspace);;Menos de 1 semana;Mi profesor;;El profesor no brindó comentarios en mi tarea antes de su envío;Comentarios dados personalmente,Grabación de audio;;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;5;5;5;4;Grabación de audio;;Anotaciones electrónicas (ej. Comentarios en Word o PDF);;Mejorar mi calidad de estudiante;Frecuentemente;Ocasionalmente;Ocasionalmente;Ocasionalmente;Rara vez;Frecuentemente;Frecuentemente;Rara vez;Frecuentemente;Ocasionalmente;Siempre;Siempre;Rara vez;Frecuentemente;Rara vez;Muy de acuerdo;Muy de acuerdo;En desacuerdo;Concepción y modelos emergentes;2022;Concentración;Se me ha visto reflejado en el momento de ser participativa;No entendí la retroalimentación;Seguir fomentando en las retroalimentaciones con el estudiante;Mujer;;Colombia;;Más de 12 años;No;Sí, otro (Por favor especifique en el siguiente recuadro);Wayunaiki;Muy bueno;No;
100;De acuerdo;18 - 23;Ciencias Sociales (ej. Ciencias de la Educación, Ciencias Políticas, Derecho, Economía y Negocios, Geografía Social y Económica, Periodismo y Comunicaciones, Psicología, Sociología);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura en Etnoeducacion e Interculturalidad ;Menos de un año;Entre 4.1 y 4.5;En cinco;ELECTIVA II ;Calificaciones y comentarios;Más alta de lo esperado;Otra (Por favor especifique en el siguiente recuadro);Un informe escrito ;Trabajé solo;;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;;Antes de la entrega;Muy útiles;Otro (Por favor especifique en el siguiente recuadro);Por medio del Google classroom ;Menos de 1 semana;Mi profesor;;El profesor ya había revisado y brindado comentarios en mi tarea antes de su envío;Rúbrica calificada;;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;4;5;4;5;Anotaciones electrónicas (ej. Comentarios en Word o PDF),Rúbrica calificada;;Anotaciones electrónicas (ej. Comentarios en Word o PDF),Rúbrica calificada;;Poder lograr incentivar más el desarrollo de aprendizaje de cada persona, para obtener un resultado positivo de su actividad planeada.;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Frecuentemente;Frecuentemente;Siempre;Siempre;Siempre;Frecuentemente;Siempre;Nunca;De acuerdo;De acuerdo;En desacuerdo;ELECTIVA II ;I SEMESTRE DEL 2022;La forma de entender y comprender de una manera segura, tener el dominio del tema tratado ;En los resultados del trabajo abordado, también en la forma de que el aprendizaje del estudiante sea crítico y reflexivo ;En la manera de que uno no le da mucha importancia a ese proceso y lo omite ;Trabajar de la mano de todos e incentivar más los procesos de aprendizaje en los estudiantes y hacer unos apuntes o enseñanzas crítica para ellos;Hombre;;Colombia;;Más de 12 años;No;Sí, otro (Por favor especifique en el siguiente recuadro);Lengua materna el wayuunaiki;Bueno;No;
100;De acuerdo;24 - 29;Ciencias Sociales (ej. Ciencias de la Educación, Ciencias Políticas, Derecho, Economía y Negocios, Geografía Social y Económica, Periodismo y Comunicaciones, Psicología, Sociología);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura en  etnoeducacion e interculturalidad ;Menos de un año;Entre 3.6 y 4.0;En ninguna;Fundamentos de la etnoeducacion ;Solo calificación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Comentarios dados personalmente;;Comentarios dados personalmente;;La retroalimentación expresa opiniones juicios fundados sobre el proceso de aprendizaje, con los aciertos y errores, fortalezas y habilidades del estudiante ;Siempre;Siempre;Siempre;Siempre;Nunca;Siempre;Siempre;Rara vez;Siempre;Siempre;Ocasionalmente;Siempre;Rara vez;Nunca;Nunca;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Fundamentos de la etnoeducacion ;Primer semestre 2022;Un buen resultado en las pruebas ;Un mejor conocimiento sobre el tema ;Nunca ;Contar con docentes internacional es ;Hombre;;Colombia;;Más de 12 años;Sí;;;;No;
100;De acuerdo;Mayor a 35;Ciencias Sociales (ej. Ciencias de la Educación, Ciencias Políticas, Derecho, Economía y Negocios, Geografía Social y Económica, Periodismo y Comunicaciones, Psicología, Sociología);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura en  etnoeducacion e interculturalidad ;Menos de un año;Entre 4.1 y 4.5;En ninguna;Fundamentos etnoeducacion ;Solo comentarios;;Presentación oral/exposición;;Trabajé en grupo;;Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Después de la entrega;;Después de la entrega;;Copia impresa (ej. Documento impreso);;Más de 4 semanas;Mi profesor;;El profesor ya había revisado y brindado comentarios en mi tarea antes de su envío;Anotaciones electrónicas (ej. Comentarios en Word o PDF);;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;5;5;5;5;Comentarios dados personalmente;;Comentarios dados personalmente;;Que la persona tenga un aprendizaje muy exitoso ;Siempre;Frecuentemente;Siempre;Siempre;Frecuentemente;Siempre;Siempre;Frecuentemente;Frecuentemente;Frecuentemente;Siempre;Frecuentemente;Frecuentemente;Ocasionalmente;Nunca;En desacuerdo;En desacuerdo;En desacuerdo;Fundamentos etnoeducacion ;2022 1 semestre ;La comunicación fue tan efectiva ;La mejoría que tuve despues;No tuve una retroalimentación fracasada ;La comunicación entre profes;Hombre;;Colombia;;Más de 12 años;Sí;;;;No;
100;De acuerdo;Menor a 18;Ciencias Sociales (ej. Ciencias de la Educación, Ciencias Políticas, Derecho, Economía y Negocios, Geografía Social y Económica, Periodismo y Comunicaciones, Psicología, Sociología);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Etnoeducacion;Menos de un año;Entre 4.1 y 4.5;En ninguna;Concepción y modelos pedagógicos;Solo comentarios;;Diario/blog/texto de reflexión;;Trabajé solo;;Antes de la entrega;Después de la entrega;Después de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;;Después de la entrega;Extremadamente útiles;Plataforma educativa (ej. LMS, Moodle, Brightspace);;Recibí los comentarios inmediatamente;Mi profesor;;El profesor ya había revisado y brindado comentarios en mi tarea antes de su envío;Comentarios dados personalmente;;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;3;4;3;5;Comentarios dados personalmente;;Comentarios dados personalmente;;Reflexionar sobre lo que he sido evaluado;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Ocasionalmente;Siempre;Siempre;Siempre;Siempre;Siempre;Rara vez;Nunca;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;789292;2021 ene el primer semestre;Que fuera Dinámica divertida y sobre todo que le proporciona un buen conocimiento a uno;por la forma en que como he evolucionado en mi aprendizaje y mi animo de seguir esforzándome;Siempre han sido efectivas ;Nuevas metodologías;Mujer;;Colombia;;Más de 12 años;Sí;;;;No;
100;De acuerdo;Menor a 18;Ciencias Sociales (ej. Ciencias de la Educación, Ciencias Políticas, Derecho, Economía y Negocios, Geografía Social y Económica, Periodismo y Comunicaciones, Psicología, Sociología);;Estudiante nacional a tiempo completo;Universidad de la Guajira;Licenciatura en etnoeducación e interculturalidad ;Menos de un año;Entre 4.1 y 4.5;En una;concepciones y modelos pedagogícos;Solo comentarios;;Ensayo escrito,Presentación oral/exposición,Examen corto/quiz;;Trabajé en grupo;;Antes de la entrega,Después de la entrega;Antes de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;papá ;Antes de la entrega,Después de la entrega;Muy útiles;Correo electrónico,Plataforma educativa (ej. LMS, Moodle, Brightspace);;Menos de 2 semanas;Mi profesor;;El profesor ya había revisado y brindado comentarios en mi tarea antes de su envío;Comentarios dados personalmente;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;No puedo dar una opinión;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;4;5;5;5;Comentarios escritos a mano en una copia impresa,Comentarios escritos a mano en un documento escaneado;;Comentarios dados personalmente;;aclarar dudas y mejorar mi desempeño ;Frecuentemente;Siempre;Siempre;Frecuentemente;No puedo dar una opinión;Siempre;Siempre;No puedo dar una opinión;Frecuentemente;Siempre;Siempre;Siempre;Siempre;Siempre;Nunca;Muy en desacuerdo;No puedo dar una opinión;Muy en desacuerdo;Concepción y modelos pedagógicos ;primer semestre del 2022;Escuchar y tomar consejos ;por mi buen desempeño ;En etnografía, la profesora no explica muy bien ;Más seguimientos a esos profesores que no son tan buenos ;Mujer;;Colombia;;Más de 12 años;Sí;;;;Sí (Por favor especifique en el siguiente recuadro);La miopía, pues aveces se me dificulta alcanzar a ver lo que hay en el tablero 
100;De acuerdo;18 - 23;Ninguna de las anteriores (Por favor indique el área de conocimiento);;Estudiante nacional a tiempo completo;Universidad de la Guajira;Licenciatura en etnoeducacion e interculturalidad;Menos de un año;Entre 3.0 y 3.5;En ninguna;concepcion y modelos pedagógicos ;Solo comentarios;;Examen;;Trabajé solo;;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;Antes de la entrega,Después de la entrega;;Después de la entrega;Un poco útiles;Correo electrónico;;Recibí los comentarios inmediatamente;Mi profesor;;El profesor ya había revisado y brindado comentarios en mi tarea antes de su envío;Comentarios dados personalmente;;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;2;1;4;4;Comentarios dados personalmente;;Comentarios dados personalmente;;Tener todo claro ;Frecuentemente;Ocasionalmente;Siempre;Ocasionalmente;Rara vez;Nunca;Rara vez;Ocasionalmente;Ocasionalmente;Ocasionalmente;Ocasionalmente;Ocasionalmente;Rara vez;Ocasionalmente;Ocasionalmente;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Catedra;1 semestre ;Los conocimientos ;Por la práctica ;Siempre es efectiva ;Nada ;Mujer;;Colombia;;Más de 12 años;No;Sí, otro (Por favor especifique en el siguiente recuadro);Wayunaiki;Medio;Prefiero no decirlo;
100;De acuerdo;18 - 23;Humanidades (ej. Arte, Historia y Arqueología, Idiomas y Literatura, Otras Historias y Humanidades);;Estudiante internacional de medio tiempo;Universidad de la Guajira;licenciatura en etnoeducación e interculturalidad;Menos de un año;Entre 3.6 y 4.0;En dos;aprendizaje autónomo  ;Calificaciones y comentarios;Más baja de lo esperado;Examen;;Trabajé solo;;Después de la entrega;Antes de la entrega;Antes de la entrega;Después de la entrega;Antes de la entrega;Después de la entrega;Antes de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;;Antes de la entrega;;Copia impresa (ej. Documento impreso);;Menos de 1 semana;Mi profesor;;El profesor ya había revisado y brindado comentarios en mi tarea antes de su envío;Comentarios dados personalmente;;Ni de acuerdo ni en desacuerdo;De acuerdo;No puedo dar una opinión;De acuerdo;No puedo dar una opinión;No puedo dar una opinión;De acuerdo;No puedo dar una opinión;De acuerdo;No puedo dar una opinión;3;4;4;4;Comentarios escritos a mano en una copia impresa,Comentarios dados personalmente;;Comentarios dados personalmente;;dar a entender sobre las clases emotivas que dan un profesor al momento de evaluar;Ocasionalmente;Rara vez;Frecuentemente;Siempre;Siempre;Siempre;Siempre;Siempre;Ocasionalmente;Ocasionalmente;Rara vez;Rara vez;Ocasionalmente;Rara vez;Nunca;En desacuerdo;De acuerdo;En desacuerdo;aprendizaje autonomo;en el mismo mes del 1 corte;primeramente ponerle mas desempeño en escuchar las clases y poner de mi parte para poder entender bien las clases de la profe de aprendizaje autónomo por es una de las materias mas complicadas para mi ;por que he logrado pasar buenas exposiciones gracias a lo escrito por la seño  en las horas de aprendizaje;en ninguna porque es la primera vez que recibo algo de parte de un profesor;que las clases no sea solo de hablar sino también de poder despejar las mentes para su desarrollo en el ámbito universitario;Mujer;;Colombia;;Menos de 1 año;No;Sí, otro (Por favor especifique en el siguiente recuadro);wayuunaiki;Muy bueno;No;
